htid,recordid,oclc,locnum,author,imprint,date,place,enumcron,subjects,title,prob80precise,genrepages,totalpages,englishpct,datetype,startdate,enddate,imprintdate
loc.ark+=13960=t8x92w297,9593740,,PR4859.K5L6 1870,"Knowles, James Sheridan,",New York;S. French & son;London;S. French;187-?,1870,nyu,,,The love-chase,0.79,65,80,0.998,q,1870,1879,"<estimate=""[187-?]"">"
loc.ark+=13960=t9377t875,9573943,,PR4713.C5,"Gilbert, W. S.",New York;Happy Hours company;187-?,1870,nyu,,,Charity,0.84,45,56,0.999,q,1870,1879,"<estimate=""[187-?]"">"
loc.ark+=13960=t9668wx3j,9600577,,PR4518.C16C5,"Craven, H. T.",New York;C. T. De Witt;187-?,1870,nyu,,,The chimney corner,0.85,30,36,1.0,q,1870,1879,"<estimate=""[187-?]"">"
loc.ark+=13960=t9d517v9j,9570308,,PR4713.P9,"Gilbert, W. S.","New York;T. H. French; [etc., etc.;187-?",1870,nyu,,,Pygmalion and Galatea,0.87,39,44,1.0,q,1870,1879,"<estimate=""187-?]"">"
loc.ark+=13960=t9h42bg5w,9591885,,PR5175.P3M3,"Phillips, Watts,",New York;R. M. De Witt;187-?,1870,nyu,,,Maud's peril,0.8,30,38,0.999,q,1870,1879,"<estimate=""[187-?]"">"
mdp.39015000538614,290238,84585919,,"Molière,",New York;A. W. Lovering;187-?,1870,nyu,v.3,,The dramatic works of Molière,0.73,507,649,1.0,q,1870,1879,"<estimate=""[187-?]"">"
mdp.39015005306504,290238,84585919,,"Molière,",New York;A. W. Lovering;187-?,1870,nyu,v.2,,The dramatic works of Molière,0.66,361,596,1.0,q,1870,1879,"<estimate=""[187-?]"">"
mdp.39015012913987,1522967,67403714,,"Calderón de la Barca, Pedro,",Dublin;J. F. Fowler;London;J. C. Hotten;1870.,1870,ie ,,,"The two lovers of heaven, Chrysanthus and Daria;",0.74,47,86,1.0,s,1870,    ,1870
mdp.39015030938008,1398022,67410661,PR4713.P28,"Gilbert, W. S.",London;S. French;New York;S. French & son;187-,1870,enk,,,The palace of truth,0.83,54,68,0.999,q,1870,1879,"<estimate=""[187-]"">"
mdp.39015055196714,3784975,19172291,,"Eichberg, Julius,",New York?;s.n.;ca. 1870,1870,nyu,,Operas;Librettos,The doctor of Alcantara,0.82,29,36,0.999,s,1870,    ,1870
mdp.39015055196854,3784937,8753651,,"Flotow, Friedrich von,",Philadelphia;American Opera Pub. Co.;187-?,1870,pau,,"Songs and music;Operas;Stradella, Alessandro;1639-1682;Librettos",Stradella,0.67,16,26,1.0,q,1870,1879,"<estimate=""[187-?]"">"
mdp.39015059382112,329021,54012388,,"Taylor, Tom,",New York;S. French;187-,1870,nyu,,,"""To parents and guardians!",0.8,23,32,0.999,q,1870,1879,"<estimate=""[187-]"">"
njp.32101032455774,8888130,18623097,,"Coleridge, Samuel Taylor,",Boston;James R. Osgood;1870-71.,1870,mau,v.2,,The poetical works of S.T. Coleridge,0.73,202,392,0.997,m,1870,1871,1870-1871
njp.32101032455782,8888130,18623097,,"Coleridge, Samuel Taylor,",Boston;James R. Osgood;1870-71.,1870,mau,v.3,,The poetical works of S.T. Coleridge,0.86,312,350,0.997,m,1870,1871,1870-1871
njp.32101049725599,8897683,30470389,PR4878.L16K5 1870,"Langford, John Alfred,",Birmingham;Printed by E.C. Osborne;1870.,1870,enk,,"d. 1196;Fitzosbert, William;Poetry;I;1157-1199;King of England;Richard",The King & the commoner,0.84,84,104,1.0,s,1870,    ,1870
njp.32101066126572,1693645,27650114,PN6120.A4H8,"Hudson, Francis,",New York;Dick & Fitzgerald;c1870,1870,nyu,,Amateur theater;English drama;Amateur plays,Hudson's private theatricals for home performance,0.85,172,222,1.0,s,1870,    ,1870
njp.32101067004638,8955888,23587114,,"Williams, Rowland,",London;Williams and Norgate;1870.,1870,enk,,"Glendower, Owen;Drama;1359?-1416?",Owen Glendower,0.72,197,332,1.0,s,1870,    ,1870
njp.32101067189017,8956663,10232203,,"Calderón de la Barca, Pedro,",Dublin;J.F. Fowler;1870.,1870,ie ,,,"The two lovers of heaven, Chrysanthus and Daria;",0.73,46,80,1.0,s,1870,    ,1870
njp.32101068144581,8967560,42666143,,"Shakespeare, William,",London;Longmans;187-?,1870,enk,,,Shakespeare's comedy of The merchant of Venice,0.84,144,178,1.0,s,187u,    ,"<estimate=""[187-?]"">"
njp.32101068157369,8968034,692036,,"Shakespeare, William,",London;Bell and Daldy;1870.,1870,enk,vol. 3,,Charles Kemble's Shakspere readings,0.89,289,304,1.0,s,1870,    ,1870
njp.32101068157377,8968034,692036,,"Shakespeare, William,",London;Bell and Daldy;1870.,1870,enk,vol. 2,,Charles Kemble's Shakspere readings,0.89,322,342,1.0,s,1870,    ,1870
njp.32101072656000,9009203,42631601,,"Shakespeare, William,",New York;Leavitt;187-?,1870,nyu,,,The works of Shakespeare,0.88,679,764,1.0,s,187u,    ,"<estimate=""[187-?]"">"
njp.32101074487685,9022791,22747395,,"Shakespeare, William,",London;Bell & Daldy;1870.,1870,enk,vol.9,,The plays and poems of Shakespeare,0.92,320,348,1.0,s,1870,    ,1870
njp.32101074865211,9024584,5059288,,"Tullidge, Edward W.",Salt Lake City;1870.,1870,utu,,"Cromwell, Oliver;1599-1658;Drama",Oliver Cromwell;,0.87,72,84,1.0,s,1870,    ,1870
nyp.33433015468725,8602843,25006208,,"Nugent, Edmund C.",London;John Camden Hotten;1870.,1870,enk,,Charades,Country-house charades for acting,0.75,201,288,0.998,s,1870,    ,1870
nyp.33433074971858,8683467,12364106,,"Shakespeare, William,",New York;D. Appleton;1870.,1870,nyu,v. 3,,The Stratford Shakspere,0.86,578,674,0.998,s,1870,    ,1870
pst.000005986705,9430060,84877080,,"O'Donoghue, Mary Ann.",Cincinnati;R. Clarke;1870.,1870,xx ,,,A drama of the eleventh century,0.73,33,46,1.0,s,1870,    ,1870
uc1.b112821,6607600,30204351,,"Bernard, William Bayle,",Boston;W.H. Baker;187-?,1870,mau,,,"His last legs, a farce in two acts;",0.83,31,40,0.999,q,1870,1879,"<estimate=""[187-?]"">"
uc1.b161064,6638126,6704866,,"Massinger, Philip,",London;John Camden Hotten;187-?,1870,enk,,,The plays of Philip Massinger,0.93,641,684,0.997,q,1870,1878,"<estimate=""[187-?]"">"
uc1.b293566,4195450,9053877,PR2753.H8 1870,"Shakespeare, William,",Boston;Ginn brothers and company ...;1870-1873.,1870,mau,v. 1,,Plays of Shakespeare,0.92,608,660,1.0,m,1870,1873,1870-1873
uc1.b3145955,6110521,2608314,PN3155.H6,"Howard, Clarence J.",New York;Dick & Fitzgerald;1870,1870,xx ,,Amateur theater,Howard's book of drawing-room theatricals,0.84,171,228,1.0,s,1870,    ,1870
uc1.b3548512,6672638,16070897,,"Jonson, Ben,",London;A. J. Crocker and brothers;1870.,1870,enk,v. 1,,The works of Ben Jonson,0.84,455,590,0.999,s,1870,    ,1870
uc1.b4107644,6156901,4153487,PR3461.F6A67,"Foote, Samuel,",New York;R.M. De Witt;187-,1870,nyu,,,The liar,0.85,37,44,1.0,q,1870,1879,"<estimate=""[187-]"">"
uc1.b4337721,6221260,11128749,,"Bellini, Vincenzo,",New York;F. Rullman;187-?,1870,nyu,,Operas;Librettos,Norma,0.78,26,40,0.975,q,1870,1879,"<estimate=""[187-?]"">"
uc1.b4572614,6272160,,,,"Brooklyn, N.Y.;W. W. Swayne;1870?",1870,nyu,,English drama,The works of the British dramatists,0.86,512,610,1.0,s,1870,    ,1870
uc2.ark+=13960=t11n8138k,7676341,22100418,,"Wallace, William Vincent,",Philadelphia;Ledger Job Printing Office;1870.,1870,pau,,Operas;Librettos,Maritana,0.78,31,44,1.0,s,1870,    ,1870
uc2.ark+=13960=t46q1w77n,6502349,3811680,,"Daly, Augustin,",New York;Samuel French;1870.,1870,nyu,,,"""Frou frou"" ;",0.84,58,68,1.0,s,1870,    ,1870
uc2.ark+=13960=t4zg6jj5w,6607600,30204351,,"Bernard, William Bayle,",Boston;W.H. Baker;187-?,1870,mau,,,"His last legs, a farce in two acts;",0.82,31,40,1.0,q,1870,1879,"<estimate=""[187-?]"">"
uc2.ark+=13960=t58c9t58w,7667511,3881082,PQ 2369 A 24 1870,"Musset, Alfred de,",New York;Hurd and Houghton;1870.,1870,nyu,,,Selections from the prose and poetry of Alfred de Musset,0.7,116,248,1.0,s,1870,    ,1870
uc2.ark+=13960=t58c9x40t,7691726,13307126,,"Quarmby, William.",London;Simpkin;1870,1870,enk,,,"Zoluman, a tragedy, and other poems",0.71,152,248,0.999,s,1870,    ,1870
uc2.ark+=13960=t5cc17807,7707819,228703250,,"Tobin, John,",New York;S. French;187-?,1870,nyu,,,The honey-moon;,0.86,60,68,0.999,q,1870,1879,"<estimate=""[187-?]"">"
uc2.ark+=13960=t6931292g,7708023,364847812,,"Morton, John Maddison,",New York;Samuel French;1870.,1870,nyu,,,A Most unwarrantable intrusion;,0.82,13,18,1.0,s,1870,    ,1870
uc2.ark+=13960=t7fq9sv42,6638126,6704866,,"Massinger, Philip,",London;John Camden Hotten;187-?,1870,enk,,,The plays of Philip Massinger,0.93,634,684,0.998,q,1870,1878,"<estimate=""[187-?]"">"
uc2.ark+=13960=t7rn3cs03,1367068,4789954,,"Daniel, P. A.",London;R. Hardwicke;1870.,1870,enk,,"1564-1616;Criticism, Textual;Shakespeare, William",Notes and conjectural emendations of certain doubtful passages in Shakespeare's plays,0.92,86,100,0.999,s,1870,    ,1870
uva.x030808980,9782287,20919354,,"Shield, Joseph.",London;Provost;1870.,1870,enk,,,Adela,0.68,79,136,0.999,s,1870,    ,1870
loc.ark+=13960=t2v415v61,9560302,,PS1059.B22T5 1871,"[Baker, George Melville],",Boston;Lee and Shepard [etc.;1871,1871,mau,,,A tender attachment,0.81,22,28,1.0,s,1871,    ,1871
loc.ark+=13960=t2v41925w,9559658,,PS1919.H213,"Heath, George W. [from old catalog]","Dover, N.H.;H. H. Goodwin, printer;1871.",1871,nhu,,,The drummer boy of the Shenandoah,0.79,36,48,1.0,s,1871,    ,1871
loc.ark+=13960=t2w38890t,9574490,,PS635.Z9C586,"[Cole, George H. from old catalog]",Mobile;Henry Farrow & Co.;1871.,1871,alu,,,The rivals,0.79,25,32,1.0,s,1871,    ,1871
loc.ark+=13960=t2x35fs5r,9601398,7844192,PR2825.A2R6 1871,"Shakespeare, William,",New York;Harper & brothers;1871.,1871,nyu,,Jews;Italy;Shylock (Fictitious character);Moneylenders;Drama;Venice (Italy),Shakespeare's comedy of the Merchant of Venice,0.72,88,180,1.0,s,1871,    ,1871
loc.ark+=13960=t3029dq3j,9559658,,PS1919.H213,"Heath, George W. [from old catalog]","Dover, N.H.;H. H. Goodwin, printer;1871.",1871,nhu,,,The drummer boy of the Shenandoah,0.79,36,52,0.999,s,1871,    ,1871
loc.ark+=13960=t3417gj95,9604262,,PS635.Z9C812,"Cornish, O. W. [from old catalog]",New York;Robert M. De Witt;1871,1871,nyu,,,Foiled,0.8,42,48,1.0,s,1871,    ,1871
loc.ark+=13960=t3rv11q3q,9598572,,PS635.Z9N472,,"Tamaqua, Pa.;Saturday Courier, Book and Job Office;1871.",1871,pau,,,"Netta, the vivandiere;",0.81,37,42,1.0,s,1871,    ,1871
loc.ark+=13960=t3zs3dk0z,9582737,,PR5499.S45L3,"Suter, William E.,","Clyde, Ohio;1871.",1871,ohu,,,Lady Audley's secret,0.88,40,44,1.0,s,1871,    ,1871
loc.ark+=13960=t4th9170g,9595123,,PS635.Z9H6488,"Hill, John W. [old catalog heading]","Dayton, Ohio;Reynolds' Job Printing House;1871?].",1871,ohu,,,The guard on the Rhine,0.68,32,48,1.0,s,1871,    ,1871
loc.ark+=13960=t4wh35w00,9575658,,PS3113.U73C4,"Upton, George Putnam,","Chicago;Rand, McNally & company, printers;1871.",1871,ilu,,Anecdotes;Prophecies;Women,"The century plant: or, Chicago in 1970",0.72,18,32,0.999,s,1871,    ,1871
loc.ark+=13960=t4xh0f610,11213710,,PS2498.O6U5,"Osgood, L. W. [from old catalog]","Woburn, Mass.;J. L. Parker;1871.",1871,mau,,,The Union spy;,0.86,31,36,0.998,s,1871,    ,1871
loc.ark+=13960=t5z610w3d,9567481,,PS635.Z9M1177,"McCartney, William H. [from old catalog]",New York;s.n.;1871.,1871,nyu,,,The bayonet,0.83,80,92,1.0,s,1871,    ,1871
loc.ark+=13960=t63494076,9589327,,PS3319.W43R6,"Wilkins, W. Henri. [from old catalog]",Ludlow [Vt.;Gazette job printing department;1871.,1871,vtu,,,Rock Allen the orphan,0.71,22,32,1.0,s,1871,    ,1871
loc.ark+=13960=t6tx43s1r,9560372,,PS2377.M88P4,"Meath, J. W. [from old catalog]","Memphis, Tenn.;Goodwyn & co.;1871.",1871,tnu,,,Pedestin,0.86,70,82,0.999,s,1871,    ,1871
loc.ark+=13960=t7pn9k26q,9608898,,PS635.Z9J53,"Jennings, D. Homer. [from old catalog]","Bridgeport, Conn.;J. H. Coggswell;1871.",1871,ctu,,,Our female volunteer,0.82,29,36,0.998,s,1871,    ,1871
loc.ark+=13960=t8pc3jj4v,9603522,,PS2719.R395M3,"Robie, D. C. [from old catalog]",Hartford;Soldiers' record steam print;1871.,1871,ctu,,,The maid of Columbia;,0.76,45,60,1.0,s,1871,    ,1871
mdp.39015024347216,1356159,803255,,"Bhavabhūti,",London;Trübner & co.;1871.,1871,enk,,,Mahá-víra-charita. The adventures of the great hero Ráma,0.72,137,200,1.0,s,1871,    ,1871
mdp.39015027642688,1845976,6068949,,Sophocles.,London;Strahan & co.;1871.,1871,enk,,"(Edward Hayes);ed;Plumptre, E. H;1821-1891",The tragedies of Sophocles;,0.69,329,616,1.0,s,1871,    ,1871
mdp.39015063763240,784714,6898327,,"Bigot, Marie Healy,","London;S. Low, Marston, Low & Searle;1871.",1871,enk,,Amateur plays,The home theatre,0.85,296,341,1.0,s,1871,    ,1871
njp.32101019190055,1356159,803255,,"Bhavabhūti,",London;Trübner & co.;1871.,1871,enk,,,Mahá-víra-charita. The adventures of the great hero Ráma,0.74,139,200,1.0,s,1871,    ,1871
njp.32101021589047,8886597,21072035,,"Massinger, Philip,",London;Chatto and Windus;1871.,1871,enk,,,Plays,0.93,634,708,1.0,s,1871,    ,1871
njp.32101045351622,8893383,13191866,PS2494.O4M4,"Osborn, Laughton,",New York;The American News Company;1871.,1871,nyu,,Jesus Christ;Drama,Meleagros; The new Calvary;,0.76,148,234,1.0,s,1871,    ,1871
njp.32101063607582,8917177,8649556,,"Lewis, Leopold,","London;Samuel French, publisher, 89, Strand;New York;Samuel French & son, publishers, 38, East 14th Street;1871?",1871,enk,,,The bells,0.82,30,38,1.0,s,1871,    ,1871
njp.32101068169984,8968527,31308165,,"Neil, Ross,",London;Ellis and Green;1871.,1871,enk,,"Lady;1537-1554;Grey, Jane;Drama","Lady Jane Grey ; Inez, or, The bride of Portugal",0.88,289,316,1.0,s,1871,    ,1871
njp.32101073015107,9011294,5177549,PR2753.D2 1885,"Shakespeare, William,",New York;G. Routledge;1871?,1871,nyu,v.7,,The handy-volume Shakespeare,0.88,387,406,0.993,s,1871,    ,1871
njp.32101073015115,9011294,5177549,PR2753.D2 1885,"Shakespeare, William,",New York;G. Routledge;1871?,1871,nyu,v.5,,The handy-volume Shakespeare,0.9,348,364,1.0,s,1871,    ,1871
njp.32101073015123,9011294,5177549,PR2753.D2 1885,"Shakespeare, William,",New York;G. Routledge;1871?,1871,nyu,v.8,,The handy-volume Shakespeare,0.89,432,448,1.0,s,1871,    ,1871
njp.32101073015131,9011294,5177549,PR2753.D2 1885,"Shakespeare, William,",New York;G. Routledge;1871?,1871,nyu,v.9,,The handy-volume Shakespeare,0.89,404,420,1.0,s,1871,    ,1871
njp.32101073015149,9011294,5177549,PR2753.D2 1885,"Shakespeare, William,",New York;G. Routledge;1871?,1871,nyu,v.10,,The handy-volume Shakespeare,0.89,407,424,1.0,s,1871,    ,1871
njp.32101073015156,9011294,5177549,PR2753.D2 1885,"Shakespeare, William,",New York;G. Routledge;1871?,1871,nyu,v.11,,The handy-volume Shakespeare,0.89,404,416,1.0,s,1871,    ,1871
njp.32101073015164,9011294,5177549,PR2753.D2 1885,"Shakespeare, William,",New York;G. Routledge;1871?,1871,nyu,v.12,,The handy-volume Shakespeare,0.9,411,424,1.0,s,1871,    ,1871
njp.32101073015370,9011294,5177549,PR2753.D2 1885,"Shakespeare, William,",New York;G. Routledge;1871?,1871,nyu,v.1,,The handy-volume Shakespeare,0.88,262,280,1.0,s,1871,    ,1871
njp.32101073015388,9011294,5177549,PR2753.D2 1885,"Shakespeare, William,",New York;G. Routledge;1871?,1871,nyu,v.3,,The handy-volume Shakespeare,0.89,329,344,1.0,s,1871,    ,1871
njp.32101073015396,9011294,5177549,PR2753.D2 1885,"Shakespeare, William,",New York;G. Routledge;1871?,1871,nyu,v.4,,The handy-volume Shakespeare,0.89,352,370,1.0,s,1871,    ,1871
njp.32101073015404,9011294,5177549,PR2753.D2 1885,"Shakespeare, William,",New York;G. Routledge;1871?,1871,nyu,v.6,,The handy-volume Shakespeare,0.89,326,340,1.0,s,1871,    ,1871
njp.32101073795468,1232148,5417980,PM6308.9.O5 1871,,London;Trübner & co.;1871.,1871,enk,,Ollantay (Play);Drama,Ollanta,0.82,103,140,0.994,s,1871,    ,1871
njp.32101075981629,10249265,25034646,,"Morton, John Maddison,",London;Lacy;1871?,1871,enk,,,"She would and he wouldn't, a comedy, in two acts",0.82,80,102,0.999,s,1871,    ,1871
nyp.33433074898499,8683507,9041229,,"Shakespeare, William,",Philadelphia;Lippincott;1871.,1871,pau,,,The works of William Shakespeare,0.89,764,834,1.0,s,1871,    ,1871
nyp.33433076080419,8589765,547530,PR3317.A11871,"Behn, Aphra,",London;J. Pearson;1871.,1871,xx ,v. 4,,"The plays, histories, and novels of the ingenious Mrs. Aphra Behn",0.94,414,430,1.0,s,1871,    ,1871
nyp.33433076080427,8589765,547530,PR3317.A11871,"Behn, Aphra,",London;J. Pearson;1871.,1871,xx ,v. 3,,"The plays, histories, and novels of the ingenious Mrs. Aphra Behn",0.93,341,358,1.0,s,1871,    ,1871
uc1.b272610,6516601,5806693,,"Shakespeare, William,",Edinburgh;Gall & Inglis;1871,1871,stk,,,The dramatic works of William Shakespeare,0.9,939,962,1.0,s,1871,    ,1871
uc1.b272737,6516666,12680081,,"Baker, George Melville,","Boston;Lee & Shepard;New York;Lee, Shepard, & Dillingham;1871, c1870.",1871,mau,,,The social stage,0.88,277,304,0.999,r,1871,1870,1871
uc1.b307892,6538502,27093212,,"Lovell, John E.",New York;Collins & brother;1871,1871,nyu,,,"New school dialogues; or, Dramatic selections for the use of schools, academies, and families",0.89,432,466,1.0,s,1871,    ,1871
uc1.b3515739,10117299,,,"Schiller, Friedrich,",London;Bell and Daldy;1871-,1871,   ,v.2,,The works of Frederick Schiller,0.82,404,574,0.999,m,1871,18,1871
uc2.ark+=13960=t0000323c,9260826,7529246,,"Grocott, John Cooper,",Liverpool;E. Howell;1871.,1871,enk,,"Quotations, English",An index to familiar quotations selected principally from British authors,0.85,524,610,1.0,s,1871,    ,1871
uc2.ark+=13960=t08w39j46,1019521,3319179,PR3348.C4M3 1871,"Clark, William,",Edinburgh;Reprinted for private circulation;1871.,1871,stk,,,Marciano,0.82,72,110,1.0,s,1871,    ,1871
uc2.ark+=13960=t4kk97b4r,6516601,5806693,,"Shakespeare, William,",Edinburgh;Gall & Inglis;1871,1871,stk,,,The dramatic works of William Shakespeare,0.9,938,956,1.0,s,1871,    ,1871
uc2.ark+=13960=t5m905z4d,6538502,27093212,,"Lovell, John E.",New York;Collins & brother;1871,1871,nyu,,,"New school dialogues; or, Dramatic selections for the use of schools, academies, and families",0.89,432,466,1.0,s,1871,    ,1871
uc2.ark+=13960=t6736rf58,7687483,15297308,,"Donizetti, Gaetano,",New York;Wm. C. Bryant & Co.;1871.,1871,nyu,,Operas;Librettos,The daughter of the regiment,0.69,28,46,1.0,s,1871,    ,1871
uc2.ark+=13960=t6pz53w8z,6516666,12680081,,"Baker, George Melville,","Boston;Lee & Shepard;New York;Lee, Shepard, & Dillingham;1871, c1870.",1871,mau,,,The social stage,0.88,278,306,0.999,r,1871,1870,1871
uc2.ark+=13960=t7wm14v64,9261222,14705379,,"Barnes, William Henry Linow,",San Francisco;1871.,1871,cau,,,Solid silver;,0.87,92,108,1.0,s,1871,    ,1871
uva.x000612163,1692438,66138055,PR3317.A1 1871,"Behn, Aphra,",London;J. Pearson;1871.,1871,enk,V.1,,"The plays, histories, and novels of the ingenious Mrs. Aphra Behn. With life and memoirs",0.93,359,378,1.0,s,1871,    ,1871
uva.x002404064,1692438,66138055,PR3317.A1 1871,"Behn, Aphra,",London;J. Pearson;1871.,1871,enk,V.4,,"The plays, histories, and novels of the ingenious Mrs. Aphra Behn. With life and memoirs",0.94,416,432,1.0,s,1871,    ,1871
uva.x002579432,1692438,66138055,PR3317.A1 1871,"Behn, Aphra,",London;J. Pearson;1871.,1871,enk,v.3,,"The plays, histories, and novels of the ingenious Mrs. Aphra Behn. With life and memoirs",0.93,338,354,1.0,s,1871,    ,1871
inu.32000004566396,6061108,15013869,,"Williams, Thomas J.",London;New York (122 Nassau St.);S. French;187-,1872,enk,,,Dandelion's dodges!,0.77,23,32,1.0,q,1872,1878,"<estimate=""[187-]"">"
inu.32000007818232,6784108,8658895,,,Washington;Government Printing Office;1872.,1872,dcu,v.10,"Ku-Klux Klan;Politics and government;South Carolina;Sources;African Americans;Reconstruction (U.S. history, 1865-1877);1865-1950",Testimony taken by the joint select committee to inquire into the condition of affairs in the late insurrectionary states,0.71,391,622,1.0,s,1872,    ,1872
loc.ark+=13960=t05x2t16p,9571374,,PS635.Z9T167,"Tanner, Minnie H. [from old catalog]",New York;Hastings & Habberton;c1872,1872,nyu,,Cinderella (Legendary character);Drama,Cinderella;,0.66,12,20,1.0,s,1872,    ,1872
loc.ark+=13960=t0jt06g56,9566821,,PR1273.Z9A6PR4004.A55,"Almar, George.",Boston;C. H. Spencer;1872,1872,mau,,,Gaspardo,0.85,26,32,1.0,s,1872,    ,1872
loc.ark+=13960=t0ks7kq9f,11207291,,PS2129.J56L4,"[Jarrett, Henry C.],",London;Printed by T. Scott;1872,1872,enk,,,[Leo and Lotos],0.84,85,98,0.998,s,1872,    ,1872
loc.ark+=13960=t0zp4pw4r,1908969,6322087,,"Shakespeare, William,","New York;Harper & brothers, publishers, ...;1872.",1872,nyu,,,Shakespeare's history of King Henry the Eighth,0.73,120,228,0.998,s,1872,    ,1872
loc.ark+=13960=t1jh47k26,1018133,5200933,,"Konewka, Paul,",Boston;Roberts brothers;1872.,1872,mau,,"Characters;1564-1616;Shakespeare, William;Illustrations;Falstaff",Falstaff and his companions,0.85,94,112,0.987,s,1872,    ,1872
loc.ark+=13960=t1vd7d754,9572082,,PS1474.C46L6,"Culver, J. N. [from old catalog]","St. Albans, Vt.;E. A. Morton, printer;1872.",1872,vtu,,"Civil War, 1861-1865;History;United States;Drama",Loyal mountaineers,0.85,58,68,1.0,s,1872,    ,1872
loc.ark+=13960=t2x359g8h,9591033,,PR2753.D7 1872,"Shakespeare, William,",Philadelphia;Porter & Coates;1872?,1872,pau,,,The complete works of William Shakespeare,0.83,927,1110,1.0,s,1872,    ,1872
loc.ark+=13960=t44q8k58j,9575083,,PS635.Z9G977,"Gunter, A. C. [from old catalog]",San Francisco;1872.,1872,cau,,,Found the true vein,0.84,43,54,1.0,s,1872,    ,1872
loc.ark+=13960=t4kk9s455,9563030,,PS635.Z9R39,,Chicago;1872.,1872,ilu,,,Relief,0.8,60,72,0.998,s,1872,    ,1872
loc.ark+=13960=t4rj5129s,9577763,,PS2014.H2G8,"Howarth, Ellen Clementine Doran,","Trenton, N. J.;Murphy & Bechtel;1872.",1872,nju,,,The guerrilla chief,0.86,30,36,1.0,s,1872,    ,1872
loc.ark+=13960=t5r78t54j,9565919,,PS1919.H215,"Heath, George W. [from old catalog]","Haverhill [Mass.;Woodward & Palmer, printers;1872.",1872,mau,,"Civil war, 1861-1865;History;United States;Drama. [from old catalog]","Southern refugees, or The South during the war",0.87,57,68,0.999,s,1872,    ,1872
loc.ark+=13960=t5w672r8h,9591851,,PS3119.V67D4,"Vegiard, J. T. [from old catalog]","Rochester, N.Y.;Daily evening express steam printing house;c1872.",1872,nyu,,"Civil War, 1861-1865;History;United States;Drama","""Deitrick"";",0.85,32,42,1.0,s,1872,    ,1872
loc.ark+=13960=t87h28c67,9586150,,PS635.Z9W243,"Wallace, J. J. [from old catalog]",New York;R. M. De Witt;c1872.,1872,nyu,,,Little Ruby;,0.85,35,42,1.0,s,1872,    ,1872
loc.ark+=13960=t89g6825h,9596235,,PS2882.C5 1872,"Snider, Denton Jaques,",St. Louis;E. F. Hobart & co.;1872.,1872,mou,,,Clarence;,0.85,46,56,1.0,s,1872,    ,1872
loc.ark+=13960=t9m33cp2h,9591550,,PS2763.S64,"Sanders, Sidney.","Springfield, Mass.;C. W. Bryan and company, printers;1872.",1872,mau,,"Civil War, 1861-1865;History;United States;Drama",The post of honor,0.82,33,44,1.0,s,1872,    ,1872
loc.ark+=13960=t9n30b38j,9571048,,PS2219.L432E5,"Lanigan, John Alphonsus,",Buffalo;Express steam printing house;1872.,1872,nyu,,,Eithne;,0.69,35,56,1.0,s,1872,    ,1872
loc.ark+=13960=t9s18g06g,9603586,,PS635.Z9V424 1872,"Vegiard, J. T. [from old catalog]","Rochester, N.Y.;Daily Evening Express Steam printing house;1872.",1872,nyu,,,"""Deitrick"";",0.78,34,44,0.999,s,1872,    ,1872
mdp.39015016492806,1017489,60191230,PR2471.M3,"D'Avenant, William,",Edinburgh;W. Paterson;1872-1874.,1872,stk,v.4,,The dramatic works of Sir William D'Avenant,0.86,406,456,0.999,m,1872,1874,1872-1874
mdp.39015021303709,1017489,60191230,PR2471.M3,"D'Avenant, William,",Edinburgh;W. Paterson;1872-1874.,1872,stk,v.2,,The dramatic works of Sir William D'Avenant,0.78,229,352,1.0,m,1872,1874,1872-1874
mdp.39015029880864,2704045,865626,PK3794.H3N3 1872,"Harṣavardhana,",London;Trübner;1872.,1872,xx ,,,Nágánada;,0.76,94,126,0.999,s,1872,    ,1872
mdp.39015030943602,1908276,2050704,,"Centlivre, Susanna,",London;J. Pearson;1872.,1872,enk,v.3;c2,,"The dramatic works of the celebrated Mrs. Centlivre, with a new account of her life",0.9,370,386,1.0,r,1872,1761,1872
mdp.39015030943610,1908276,2050704,,"Centlivre, Susanna,",London;J. Pearson;1872.,1872,enk,v.1;c2,,"The dramatic works of the celebrated Mrs. Centlivre, with a new account of her life",0.89,368,396,1.0,r,1872,1761,1872
mdp.39015030943628,1908276,2050704,,"Centlivre, Susanna,",London;J. Pearson;1872.,1872,enk,v.2;c2,,"The dramatic works of the celebrated Mrs. Centlivre, with a new account of her life",0.89,375,394,1.0,r,1872,1761,1872
mdp.39015063755188,286897,66267672,,"Shakespeare, William,",New York;Harper & brothers;1872.,1872,nyu,,,The tempest,0.74,77,148,1.0,s,1872,    ,1872
mdp.39015081195839,1017489,60191230,PR2471.M3,"D'Avenant, William,",Edinburgh;W. Paterson;1872-1874.,1872,stk,v.3,,The dramatic works of Sir William D'Avenant,0.82,283,386,1.0,m,1872,1874,1872-1874
mdp.39015081195987,1017489,60191230,PR2471.M3,"D'Avenant, William,",Edinburgh;W. Paterson;1872-1874.,1872,stk,v.1,,The dramatic works of Sir William D'Avenant,0.72,252,456,1.0,m,1872,1874,1872-1874
mdp.39015081196142,1017489,60191230,PR2471.M3,"D'Avenant, William,",Edinburgh;W. Paterson;1872-1874.,1872,stk,v.5,,The dramatic works of Sir William D'Avenant,0.86,475,546,1.0,m,1872,1874,1872-1874
